State,FiscalYear,InflationDenom,CostOfLiving,ExpensiveSchoolEnrollment,StateSupport,FTEnrollment,SupportPerStudent
Oklahoma,2001,0.71,0.89,1.01,834835810,121111,6893.14604
Oregon,2001,0.71,1.02,1.04,654651461.5,111006,5897.442134
Pennsylvania,2001,0.71,1.07,1.05,1781073000,288334,6177.11751
Rhode Island,2001,0.71,1.15,0.96,165943600,25622,6476.606042
South Carolina,2001,0.71,0.92,1,818752589,133120,6150.485194
South Dakota,2001,0.71,1.01,1,122200000,22064,5538.433648
Tennessee,2001,0.71,0.91,1.01,1039396400,159838,6502.811597
Texas,2001,0.71,0.89,0.98,4630144818,667534,6936.19324
Utah,2001,0.71,1.01,1.07,553827695,91953,6022.943188
Vermont,2001,0.71,1.12,1.01,57624650,15914,3621.003519
Virginia,2001,0.71,0.96,1.04,1557416000,236014,6598.828883
Washington,2001,0.71,1.05,0.99,1295063000,204663,6327.782745
West Virginia,2001,0.71,0.89,0.99,405582841,62902,6447.852866
Wisconsin,2001,0.71,1.03,1.01,1141661400,196523,5809.30171
Wyoming,2001,0.71,0.97,0.91,150332680,20198,7442.948807
Alabama,2002,0.73,0.9,1.02,1104594412,173687,6359.683868
Alaska,2002,0.73,1.22,1.02,201345600,16706,12052.29259
Arizona,2002,0.73,0.96,1.05,934251700,192181,4861.311472
Arkansas,2002,0.73,0.89,1.01,604564510,92722,6520.184099
California,2002,0.73,1.09,0.94,9353663000,1309404,7143.450761
Colorado,2002,0.73,1.05,1.07,720951238,147724,4880.393423
Connecticut,2002,0.73,1.2,1.02,732340108,64183,11410.18818
Delaware,2002,0.73,0.99,1.23,185400000,26775,6924.369748
Florida,2002,0.73,0.92,1.02,2900777544,442010,6562.696645
Georgia,2002,0.73,0.93,1.06,2252290027,259566,8677.138096
Hawaii,2002,0.73,1.35,1.07,348267000,33063,10533.43617
Idaho,2002,0.73,0.96,0.97,361902625,41593,8701.04645
Illinois,2002,0.73,1.05,0.96,2596454598,349331,7432.648686
Indiana,2002,0.73,1,1.09,1141716683,203209,5618.435616
Iowa,2002,0.73,0.99,1.08,737800639,110834,6656.80783
Kansas,2002,0.73,1,1.01,705270131,104341,6759.280925
Kentucky,2002,0.73,0.9,1.04,1075914000,131313,8193.507117
Louisiana,2002,0.73,0.9,1.03,1126180792,172092,6544.062432
Maine,2002,0.73,1.09,0.95,232263330,30560,7600.239856
Maryland,2002,0.73,1,0.98,1251215744,174136,7185.279
Massachusetts,2002,0.73,1.22,0.99,1014459029,123602,8207.464515
Michigan,2002,0.73,1.03,1.06,2158600000,350261,6162.832859
Minnesota,2002,0.73,1.05,1,1397800000,176545,7917.528109
Mississippi,2002,0.73,0.88,0.97,728229349,107110,6798.892251
Missouri,2002,0.73,1,1,858713957,163408,5255.03009
Montana,2002,0.73,0.95,1.14,149837689,34333,4364.246905
Nebraska,2002,0.73,1.01,1.06,512800000,67683,7576.496314
Nevada,2002,0.73,1.01,0.95,347166181,49953,6949.856485
New Hampshire,2002,0.73,1.15,0.97,102544225,27455,3734.992715
New Jersey,2002,0.73,1.19,0.97,1672183211,188839,8855.073428
New Mexico,2002,0.73,0.95,1.01,512487400,68579,7472.949445
New York,2002,0.73,1.15,0.96,3067821500,466866,6571.096417
North Carolina,2002,0.73,0.93,0.98,2321615000,288997,8033.353287
North Dakota,2002,0.73,1,1.12,201168351,33249,6050.357936
Ohio,2002,0.73,1.01,1.04,2075041500,353571,5868.811356
Oklahoma,2002,0.73,0.89,1.01,821430601,128530,6390.963985
Oregon,2002,0.73,1.02,1.04,635270407.5,120210,5284.671887
Pennsylvania,2002,0.73,1.07,1.05,1785581000,293742,6078.739166
Rhode Island,2002,0.73,1.15,0.96,177472666,26677,6652.647074
South Carolina,2002,0.73,0.92,1,769215580,137007,5614.425394
South Dakota,2002,0.73,1.01,1,129200000,22573,5723.652151
Tennessee,2002,0.73,0.91,1.01,1063314250,160822,6611.746216
Texas,2002,0.73,0.89,0.98,5198765809,704310,7381.360209
Utah,2002,0.73,1.01,1.07,593431100,98654,6015.276623
Vermont,2002,0.73,1.12,1.01,61407302,16379,3749.148422
Virginia,2002,0.73,0.96,1.04,1606220000,246637,6512.485961
Washington,2002,0.73,1.05,0.99,1326976000,213147,6225.637705
West Virginia,2002,0.73,0.89,0.99,432870615,64799,6680.205173
Wisconsin,2002,0.73,1.03,1.01,1165835400,204123,5711.435752
Wyoming,2002,0.73,0.97,0.91,163429717,20874,7829.343537
Alabama,2003,0.75,0.9,1.02,1150861691,180654,6370.529803
Alaska,2003,0.75,1.22,1.02,211135700,17974,11746.72861
Arizona,2003,0.75,0.96,1.05,912012496,205553,4436.872709
Arkansas,2003,0.75,0.89,1.01,608356074,92508,6576.253665
California,2003,0.75,1.09,0.94,9229429000,1413927,6527.514504
Colorado,2003,0.75,1.05,1.07,592875995,156258,3794.212104
Connecticut,2003,0.75,1.2,1.02,736497416,68062,10820.97817
Delaware,2003,0.75,0.99,1.23,180968841,31028,5832.436541
Florida,2003,0.75,0.92,1.02,3072477320,476654,6445.927906
Georgia,2003,0.75,0.93,1.06,2255442203,283391,7958.764403
Hawaii,2003,0.75,1.35,1.07,368724000,34420,10712.49274
Idaho,2003,0.75,0.96,0.97,335545838,43104,7784.563799
Illinois,2003,0.75,1.05,0.96,2443279100,366296,6670.231452
Indiana,2003,0.75,1,1.09,1251293134,212951,5875.967401
Iowa,2003,0.75,0.99,1.08,722750779,115060,6281.512072
Kansas,2003,0.75,1,1.01,672391320,109045,6166.182035
Kentucky,2003,0.75,0.9,1.04,1055427465,141005,7485.035743
Louisiana,2003,0.75,0.9,1.03,1181487845,177275,6664.717783
Maine,2003,0.75,1.09,0.95,229726273,32736,7017.542553
Maryland,2003,0.75,1,0.98,1156972057,168261,6876.05599
Massachusetts,2003,0.75,1.22,0.99,983608518,137045,7177.266723
Michigan,2003,0.75,1.03,1.06,2051201587,352290,5822.480306
Minnesota,2003,0.75,1.05,1,1255455000,185452,6769.703212
Mississippi,2003,0.75,0.88,0.97,731013745,111650,6547.368966
Missouri,2003,0.75,1,1,871742665,166014,5251.01898
Montana,2003,0.75,0.95,1.14,146034002,34975,4175.382473
Nebraska,2003,0.75,1.01,1.06,527219899,68672,7677.363394
Nevada,2003,0.75,1.01,0.95,356852563,54037,6603.855932
New Hampshire,2003,0.75,1.15,0.97,105722203,28068,3766.645397
New Jersey,2003,0.75,1.19,0.97,1631846978,194846,8375.060191
New Mexico,2003,0.75,0.95,1.01,646735100,75847,8526.83824
