college_name,city,state,type_des,degree_des,campus_des,median_family_income,retention,population_recieving_loan,fed_loan_recipients,population_recieving_pell,pell_recipients,instate_tuition,outofstate_tuition,attendance_cost,avg_net_price,first_bracket_net_price,second_bracket_net_price,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,median_earnings,avg_earnings_from_low_income_bracket,avg_earnings_from_mid_income_bracket,avg_earnings_from_high_income_bracket,earning_above_threshold,completion_rate,debt_high_income,population_debt_high_income,debt_mid_income,population_debt_mid_income,debt_low_income,population_debt_low_income,debt_pell,population_debt_pell,debt_nopell,population_debt_nopell,debt_withdrew,debt_graduated,population_repayment_cohort,repayment_rate
Northern Michigan University,Marquette,MI,public,bachelors,main,57707,0.722,0.949999988,0.6408,0.569999993,0.3848,9037,14113,18466,13028,8984,10608,14320,16905,17461,34800,33800,38200,41900,0.674018681,0.461766839,13916,1512,16086,1671,13369,1671,16500,3109,11500,1754,8250,22319,3800,0.752894737
Oakland University,Rochester Hills,MI,public,bachelors,main,56986,0.7814,0.939999998,0.3689,0.5,0.2034,10613,23873,19198,11665,7311,7882,10119,13317,16054,42600,44200,47800,47400,0.765631497,0.431533704,18659,2530,19043,2260,17006,2689,21000,4317,14510.5,3178,12270,25000,4329,0.772695773
Saginaw Valley State University,University Center,MI,public,bachelors,main,51643,0.7046,0.949999988,0.6985,0.550000012,0.4075,8423,19776,17876,14049,11596,12324,14811,16210,16440,37800,36800,41900,44600,0.714493454,0.386548433,18995,1271,20000,1414,18497,1533,22241.5,2624,14000,1603,9936,27000,3451,0.738626485
Wayne State University,Detroit,MI,public,bachelors,main,30304.5,0.7695,0.879999995,0.5944,0.660000026,0.4804,11094,23714,20199,12674,10544,11674,14199,16779,18058,41500,50200,48500,52400,0.734842122,0.30358985,15000,2071,16500,2941,16000,6451,19250,8057,10788,3425,13500,21500,7635,0.5956778
Western Michigan University,Kalamazoo,MI,public,bachelors,main,74325,0.7371,0.970000029,0.68,0.469999999,0.3969,10355,24109,22483,17322,13575,15580,18809,20046,20496,42700,42900,47300,48400,0.784105718,0.55283064,20000,3712,21500,3216,21228,3383,23958,6219,16635.5,4108,12000,27000,7237,0.813320437
Bemidji State University,Bemidji,MN,public,bachelors,main,53717,0.672,0.920000017,0.594,0.540000021,0.3557,8124,8124,18166,13893,9739,10314,13170,16729,17482,37300,35700,38700,43500,0.711449385,0.467952268,13000,934,14000,1004,13637,883,15295.5,1646,11488.5,1184,9500,21500,1940,0.838659794
Minnesota State University-Mankato,Mankato,MN,public,bachelors,main,71852,0.7363,0.959999979,0.59,0.439999998,0.2906,7557,15036,17578,14161,9569,10706,13468,16651,17105,42700,41600,44600,48300,0.804565966,0.506567343,15500,2791,16050,2229,13750,1655,17430.5,3598,13500,3096,10490,23029,5112,0.887323944
Metropolitan State University,Saint Paul,MN,public,bachelors,main,34503,0.6119,0.910000026,0.5207,0.550000012,0.4156,6642,13227,18170,12314,11410,12403,14146,16513,,43600,39600,50000,57400,0.779984713,0.34283619,14070,686,15250,1656,15861,2508,16546,3236,13750.5,1626,13592.5,18750,2932,0.804911323
University of Minnesota-Twin Cities,Minneapolis,MN,public,bachelors,main,72908.5,0.9022,0.949999988,0.4516,0.400000006,0.2169,13555,19805,24278,17208,9535,11211,15468,20493,22946,47800,53400,52500,55200,0.827112973,0.741513322,19000,6110,18750,3963,18750,3406,19934.5,6542,17625,6961,12750,21500,9788,0.907948508
University of Minnesota-Crookston,Crookston,MN,public,bachelors,main,56026,0.691,0.949999988,0.3976,0.560000002,0.2388,11448,11448,21549,11894,7918,9013,10678,16743,19149,39900,40100,43800,46500,0.752475262,0.45386383,15000,316,13412,459,PrivacySuppressed,PrivacySuppressed,14592,595,PrivacySuppressed,PrivacySuppressed,9500,20000,650,0.841538462
